,channel,title,published,description,views,likes,dislikes,comments
24,Hanumankind,Hanumankind – Big Dawgs | Ft. Kalmi (Official Music Video) | Def Jam India,2024-07-10T05:41:01Z,"Pushing culture baby, got that product you can’t measure. 
 
Big Dawgs out on all platforms. 
 
Credits - 
 
Music by Hanumankind
Written by Hanumankind
Producer - Kalmi 
Mixing and Mastering Engineer - Akash Shravan
 
Director: Bijoy Shetty
DOP: Abhinay Pandit
Production house: Brown Crew Productions
Executive Producer: Rohan Venkatesh, Abhimanyu Prakash
Producer: Wazim Hyder
Chief Associate: Anamay Prakash
Line producer: Vivek Vinoj
Production manager: Ramsheed PM, Anas MM
Location support: Ramshad AK (Ponnani)
Costume designer: Mashar Hamsa
Associate Cinematographer: Nithin Abey Alexander
First AD: Haritha Haridas
Casting director: Sanjay Sundar
Drone: Kidu FPV

Title VFX: Shatterdome 
Editor: Mehran 
Associate Editor: Rohan Johnson
Colourist: Yash Soni
 
Stunt performers:
Manager: Ashraf
Male riders: Sulthan Sheikh (Main rider), Moor Saleem, Muhammed Shadab Ansari
Female rider: Kashish Sheikh
 
Cast
Abraham Vadakan
Alka Saj Susan
Chithra Pradeep
Vyshnav KB

(c) Universal Music Group 2024",172638049,5682960,0,228187
25,TateMcRaeVEVO,Tate McRae - greedy (Official Video),2023-09-15T04:00:09Z,"Tate McRae’s new album, ‘So Close To What’ is available February 21st. 
Pre-order signed vinyl, CDs, cassettes and more: https://tatemcrae.lnk.to/Store  
The Miss Possessive 2025 World Tour is coming to a city near you! Get tickets here at https://www.tatemcrae.com/

Follow Tate: 
Instagram: https://www.instagram.com/tatemcrae/    
X: https://twitter.com/tatemcrae     
TikTok: https://www.tiktok.com/@tatemcrae    
Facebook: https://www.facebook.com/TateMcRaeOfficial/ 
Website: https://www.tatemcrae.com/   

Follow T8HQ: 
Instagram: https://www.instagram.com/t8hq
TikTok: https://www.tiktok.com/@t8hq
YouTube: https://www.youtube.com/@T8HQ
Threads: https://www.threads.net/@t8hq

Lyrics: 
He said, are you serious
I’ve tried but i can’t figure out
I’ve been next to you all night and still don’t know what you’re about 
You keep talking
But not much coming out your mouth
Can’t you tell that i want you ?” 
I say, yeah

I would want myself 
Baby please believe me
I’ll put you through hell just to know me (ya ya) 
So sure of yourself 
Baby don’t get greedy 
That shit won’t end well
No it won’t end well 

I see you eyeing me down
But you’ll never know much past my name 
Or how i’m running this room around
And that i’m still half your age
Yeah you’re l-l-looking at me like i’m some sweet escape 
Obvious that you want me but i said

I would want myself
Baby please believe me
I’ll put you through hell just to know me yeah yeah 
So sure of yourself
Baby don’t get greedy
That shit won’t end well
No it won’t end well 

He said, “i’m just curious
Is this for real or just an act
Can’t tell if you love or hate me 
Never met someone like that
Drive me so so so crazy
Did you know you got that effect?”
I said, “lemme check”

Yeah
I would want myself
Baby please believe me 
I’ll put you through hell 
Just to know me yeah yeah 
So sure of yourself
Baby don’t get greedy
That shit won’t end well (end well)
No it won’t end well

I would want myself
I would want myself
I would want myself
I would want myself
I would want myself

Credits: 
Production Company - freenjoy
Director - Aerin Moreno
Creative Director - Bradley J. Calder
Executive Producers - Nathan Scherrer
Executive Producer - Tara Sheree
Head of Production - Ben Piety
Producer - Aiden Magarian
Production Supervisor - Paul Young Lee
Production Coordinator - Tommy Gleason
1st AD - Joe Suarez
2nd - AD Danny Jones
DP - Cory Burmester
1st AC - Brad Wilder
2nd AC - Milana Burdette
Loader - Matthew Borek
VTR - Evan Johnson
Steadicam - Chris Loh
Gaffer - Tristan Moffatt
Best Boy Electric - Travis Moffatt
SLT - Ethan Waddell
SLT - Liam Webner
SLT - Eric Gilbert
Board Operator - Zane Blanchard
Key Grip Brendan Riel
Best Boy Grip - Connor Colby
Grip - Logan Alesso
Grip - Kyle Sorvig
Grip - Eric Fowler
Production Designer - Wesley Goodrich
Set Dresser - Cleo Camp
Set Dresser - Carter McNeill
Art Assist - Nico Greyer
Choreographer - Sean Bankhead
Wardrobe Stylist - Joanie Del Santo
Wardrobe Assist - Hannah Murphy
#1 Makeup Artist - Lilly Keys
#1 Hair Stylist - Chad Wood
HMU Dancers - Morgan Andersen
HMU Dancers Assist - Sophia Erickson
AD PA - Beau Bielski
Truck PA - Hank Hartnell
Key PA - Aspen Miller
Set PA - Quincy Cowherd
Set PA - Omer Laval
Set PA - Kaziah Thornton-Tello
Set PA - Anne-Sophie Bine
Editor - Aerin Moreno
Colorist - Matt Osborne @ CO3
Graphics - Eddie Mandell
Photography - Beth Sarah
Short Form - Cynthia Parkhurst
Dancer - Bailey Holt
Dancer - Bernard Bell
Dancer - Alex Mateo
Dancer - Amari Smith
Dancer - Natalie Bebko
Dancer - Tayler Reeff
Commissioner - Sam Houston
Special Thanks - Tanja Rosner

#TateMcRae #greedy #OfficialVideo",171917633,1453540,0,23859
26,Central Cee,CENTRAL CEE FT. LIL BABY - BAND4BAND (MUSIC VIDEO),2024-05-23T20:00:08Z,"Listen: https://centralcee.lnk.to/BAND4BAND

Follow Central Cee 👇
Instagram: https://www.instagram.com/centralcee 
Tik Tok: https://www.tiktok.com/@centralcee 
Twitter: https://twitter.com/centralcee
Snapchat: https://www.snapchat.com/add/centralcee

Follow Lil Baby 👇
Instagram: https://www.instagram.com/lilbaby 
Tik Tok: https://www.tiktok.com/@lilbaby 
Twitter: https://twitter.com/lilbaby4PF
Snapchat: https://www.snapchat.com/add/lilbaby4PF

Produced By Ghana Beats x Geenaro 
Directed by Wowa
Edited by Marta Strauss",168589096,2207731,0,53817
27,ShaboozeyVEVO,Shaboozey - A Bar Song (Tipsy) [Official Visualizer],2024-04-12T04:00:36Z,"Listen to the single “A Bar Song (Tipsy)"". Out Now!
Stream: https://music.empi.re/abarsong

Buy CD: https://music.empi.re/wibiwigcd
Pre-order Vinyl: https://store.empi.re/products/shaboozey-where-ive-been-isnt-where-im-going-vinyl
Pre-Order Signed Vinyl: https://www.urbanoutfitters.com/shop/shaboozey-where-ive-been-isnt-where-im-going-limited-lp2

#Shaboozey #ABarSong #EMPIRE


https://www.instagram.com/shaboozey/?hl=en
https://www.tiktok.com/@shaboozey?lang=en
https://twitter.com/shaboozeysjeans?lang=en
https://www.facebook.com/ShaboozeyMusic/


[Verse 1]
My baby want a Birkin
, she's been tellin' me all night long
Gasoline and groceries, the list goes on and on
This 9 to 5 ain't workin', why the hell do I work so hard?
I can't worry 'bout my problems, I can't take 'em when I'm gone (Uh)


[Pre-Chorus]
One, here comes the two, to the three, to the four
Tell 'em ""Bring another round"", we need plenty more
Two steppin' on the table, she don't need a dance floor
Oh my, good Lord




[Chorus]
Someone pour me up a double shot of whiskey
They know me and Jack Daniel's got a history
Therе's a party downtown, near 5th Street
Everybody at the bar gеttin' tipsy
Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy


[Verse 2]
I've been Boozey since I left, I ain't changin' for a check
Tell my ma', I ain't forget (Oh, Lord, uh)


Woke up drunk at 10 a.m., we gon' do this shit again
Tell your girl to bring a friend (Oh, Lord)


[Pre-Chorus]
One, here comes the two, to the three, to the four
Tell 'em ""Bring another round"", we need plenty more
Two steppin' on the table, she don't need a dance floor
Oh my, good Lord


[Chorus]
Someone pour me up a double shot of whiskey (A double shot of whiskey)
They know me and Jack Daniel's got a history (We go way back)


There's a party downtown, near 5th Street
Everybody at the bar gettin' tipsy (Woo)
Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)
Everybody at the bar gettin' tipsy


[Bridge]
One, here comes the two, to the three, to the four
When it's last call and they kick us out the door
It's gettin' kind of late but the ladies want some more
Oh my, good Lord (Tell 'em drinks on me)


[Chorus]
Someone pour me up a double shot of whiskey (A double shot of whiskey)
They know me and Jack Daniel's got a history (Way back)
There's a party downtown, near 5th Street (Come on)
Everybody at the bar gettin' tipsy (Woo-ooh)
Can someone pour me up a double shot of whiskey (A double shot of whiskey)
They know me and Jack Daniel's got a history (It's Jack D)
At the bottom of a bottle gon' miss me (Baby, don't miss me)
Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)
Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

[Outro]
That's fuckin' messed up, bro, they kicked me out the bar



Official Visualizer by Shaboozey - ""A Bar Song (Tipsy)"" © 2024 American Dogwood / EMPIRE

http://vevo.ly/InenGX",159791843,1347543,0,43429
28,Jack Harlow,Jack Harlow - Lovin On Me [Official Music Video],2023-11-10T05:00:08Z,"Jack Harlow - Lovin On Me
Stream/Download: https://JackHarlow.lnk.to/LovinOnMe

FOLLOW JACK HARLOW
Website: https://www.jackharlow.us/
Instagram: https://JackHarlow.lnk.to/Instagram
Twitter: https://JackHarlow.lnk.to/Twitter
Facebook: https://JackHarlow.lnk.to/Facebook

LISTEN TO JACK HARLOW
Youtube: https://JackHarlow.lnk.to/YouTube
SoundCloud: https://JackHarlow.lnk.to/SoundCloud
Spotify: https://JackHarlow.lnk.to/Spotify
Apple: https://JackHarlow.lnk.to/Apple

The official YouTube channel of Generation Now and Atlantic Records artist Jack Harlow. Subscribe for the latest music videos, performances, and more.

SUBSCRIBE TO JACK’S YOUTUBE: 
https://JackHarlow.lnk.to/YouTube

#JackHarlow #LovinOnMe",159318774,1389024,0,25611
29,MorganWallenVEVO,Morgan Wallen - Last Night (One Record At A Time Sessions),2023-02-24T16:00:21Z,"Morgan Wallen performing ""Last Night"" from the new album ""One Thing At a Time"".

Get the new album “One Thing At A Time” now: https://morganwallen.lnk.to/onethingatatime

Stay connected for exclusive updates:
▸Mailing List: https://bit.ly/2FRP7LK
▸Text: 865-351-6290
▸Website: https://morganwallen.com/

▸ Shop Merch: https://morganwallen.lnk.to/shop

Follow Morgan:
▸Instagram: https://instagram.com/morganwallen/
▸Twitter: https://twitter.com/morganwallen/
▸TikTok: https://www.tiktok.com/@morganwallen
▸Facebook: https://facebook.com/morgancwallen

Lyrics:
Last night we let the liquor talk
I can't remember everything we said but we said it all 
You told me that you wish I was somebody you never met
But baby, baby somethin's tellin' me this ain't over yet
No way it was our last night

I kiss your lips
Make you grip the sheets with your fingertips
Last bottle of Jack we split a fifth
Just talk about life goin' sip for sip
You, you know you love to fight
And I say shit I don't mean
But I'm still gon' wake up wantin' you and me

I know that last night we let the liquor talk
I can't remember everything we said but we said it all 
You told me that you wish I was somebody you never met
But baby, baby somethin's tellin' me this ain't over yet
No way it was our last night
No way it was our last night

No way it was the last night that we break up
I see your tail lights in the dust
You call your momma, I call your bluff
In the middle of the night, pull it right back up
Yeah my, my friends say let her go
Your friends say what the hell
I wouldn't trade your kind of love for nothin' else 

Oh baby, last night we let the liquor talk
I can't remember everything we said but we said it all 
You told me that you wish I was somebody you never met
But baby, baby somethin's tellin' me this ain't over yet

No way it was our last night, we said we'd had enough 
I can’t remember everything we said but we said too much
I know you packed your shit and slammed the door right before you left
But baby, baby somethin’s tellin’ me this ain’t over yet
No way it was our last night
No way it was our last night

I know you said this time you really weren’t coming back again,
But baby, baby somethin’s tellin’ me this ain’t over yet. 
No way it was our last night
No way it was our last night

#MorganWallen #LastNight

Music video by Morgan Wallen performing Last Night (Acoustic Performance). © 2023 Big Loud Records, under exclusive license to Mercury Records/Republic Records, a division of UMG Recordings, Inc.

http://vevo.ly/kisHLA",159038696,611732,0,16439
30,Nicki Minaj,Nicki Minaj & Ice Spice – Barbie World (with Aqua) [Official Music Video],2023-06-23T04:28:46Z,"Download/Stream: https://barbiethealbum.lnk.to/BarbieWorldID
Barbie The Movie only in theaters and Barbie The Album available everywhere July 21st! 
Pre-order/save Barbie The Album: https://barbiethealbum.lnk.to/BTA!DL

Director | Hannah Lux Davis
Production Company | London Alley
Producer | Andrew Lerios, Luga Podesta
DP | Elias Talbot
Production Designer | Hugh Zeigler
1st AD | Jonas Morales
Executive Producer | Luga Podesta, Andrew Lerios, Brandon Bonfiglio
Production Supervisor | Alex Randall
Gaffer | Brian “Red” Hickman
Key Grip | Mynor Priesing
Choreographer | Dani Vitale, Scott Myrick
Post Supervisor | Iván Ovalle
Editor | Luis Caraza
Assistant Editor | Tanner Jackson, Chloe Scrushy
Color | Houmam Abdallah
VFX | Max Coltt at The Frender
Addtl FX | Framestore, Amy Tinker, Francois Dumoulin
Sound Design | Tony Crowe
Creative Producer | Tatum Abbott
Director’s Rep | Tommy Labuda

►Connect with Nicki 🎀🦄 
https://www.nickiminajofficial.com 
https://instagram.com/nickiminaj 
https://twitter.com/nickiminaj 
https://facebook.com/nickiminaj 
https://snapchat.com/add/nickiminaj 
https://tiktok.com/@nickiminaj 

►Shop Official Merch: https://shop.nickiminajofficial.com 

►Subscribe on YouTube: http://bit.ly/NickiMinajYTSub

►Connect with Ice Spice:
https://facebook.com/icespicemusic1
https://twitter.com/icespicee_ 
https://instagram.com/icespice
https://tiktok.com/icespicee

►Follow Barbie The Album: 
https://instagram.com/barbiethealbum
https://tiktok.com/@barbiethealbum
https://twitter.com/barbiethealbum
https://facebook.com/BarbieTheAlbum
http://www.barbiethealbum.com

►Follow Barbie The Movie: 
https://instagram.com/barbiethemovie
https://tiktok.com/@barbiethemovie
https://twitter.com/barbiethemovie
https://facebook.com/BarbieThemovie
 
#NickiMinaj #IceSpice #BarbieWorld",157624573,2088916,0,73991
31,SabrinaCarpenterVEVO,Sabrina Carpenter - Please Please Please (Official Video),2024-06-07T00:00:06Z,"Stream “Please Please Please” here: https://SabrinaCarpenter.lnk.to/PleasePleasePlease
Listen to Short n’ Sweet, out now: https://SabrinaCarpenter.lnk.to/shortnsweet
Watch all Short n’ Sweet videos here: https://SabrinaCarpenter.lnk.to/ShortnSweetVideos
 
New merch available: https://SabrinaCarpenter.lnk.to/Merch
 
Subscribe to Sabrina’s channel: https://bit.ly/SCYTsubscribe
 
Follow Sabrina Carpenter: https://linktr.ee/sabrinacarpenter
Instagram: https://www.instagram.com/sabrinacarpenter
Facebook: https://www.facebook.com/sabrinacarpenter
Twitter: https://twitter.com/SabrinaAnnLynn
TikTok: https://www.tiktok.com/@sabrinacarpenter
 
#SabrinaCarpenter #PleasePleasePlease #ShortnSweet
 
LYRICS:
I know I have good judgement
I know I have good taste
It’s funny and it’s ironic
That only I feel that way
I promise ‘em that you’re different
And everyone makes mistakes
But just don’t
 
I heard that you’re an actor
So act like a stand up guy
Whatever devils inside you
Don’t let him out tonight
I tell them it’s just your culture
And everyone rolls their eyes
Yeah I know
 
All I’m asking baby
 
Please please please don’t prove I’m right
Please please please
Don’t bring me to tears when I just did my makeup so nice
Heartbreak is one thing
My egos another
I beg you don’t embarrass me
Mother fucker ahhh
Please please please
 
Well I have a fun idea babe
Maybe just stay inside
I know you’re craving some fresh air
But the ceiling fan is so nice
And we could live so happily
If no one knows that you’re with me
I’m just kidding
But really
Kinda
Really
Really
 
Please please please don’t prove I’m right
Please please please
Don’t bring me to tears when I just did my makeup so nice
Heartbreak is one thing
My egos another
I beg you don’t embarrass me
Mother fucker ahhh
Please please please
 
If you wanna go and be stupid
Don’t do it in front of me
If you don’t wanna cry to my music
Don’t make me hate you prolifically
Please please please
Please please please
Please
Please
Please

Music video by Sabrina Carpenter performing Please Please Please.© 2024 Island Records, a division of UMG Recordings, Inc.",156129277,2168297,0,42757
32,PostMaloneVEVO,Post Malone - I Had Some Help (feat. Morgan Wallen) (Official Video),2024-05-10T14:00:06Z,"The official music video for “I Had Some Help” by Post Malone featuring Morgan Wallen. Get the song here: https://posty.lnk.to/ihadsomehelpYD. Off the new album F-1 Trillion: https://posty.lnk.to/f-1trillionlongbed

►Shop exclusive merch: https://postmalone.lnk.to/shop

►Subscribe for more: https://postmalone.lnk.to/subscribeYD

►Follow Post Malone online:
https://www.postmalone.com
https://instagram.com/postmalone
https://twitter.com/postmalone
https://facebook.com/postmalone
https://snapchat.com/add/postmalone
https://tiktok.com/@postmalone
https://discord.com/invite/post-malone 

►Follow @ExtraPosty:
https://instagram.com/extraposty
https://twitter.com/extraposty
https://facebook.com/extraposty
https://tiktok.com/@extraposty

#PostMalone #MorganWallen #IHadSomeHelp

© 2024 Mercury Records / Republic Records, a division of UMG Recordings, Inc.",128404901,950065,0,27322
33,Taylor Swift,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),2024-04-20T00:00:06Z,"The official music video for “Fortnight (feat. Post Malone)” by Taylor Swift, from ‘THE TORTURED POETS DEPARTMENT’.

Buy/download/stream ‘THE TORTURED POETS DEPARTMENT’: https://taylor.lnk.to/thetorturedpoetsdepartment 

Join the #ForAFortnightChallenge on YouTube Shorts. Share 14 snippets of your life in one single Short with “Fortnight (feat Post Malone)” by using remix or adding the official sound.

https://yt.be/ForAFortnightChallenge

►Subscribe to Taylor Swift on YouTube: https://ts.lnk.to/subscribe
►Shop Merch: http://taylorswift.lnk.to/store

►Follow Taylor Swift Online: 
TikTok: http://tiktok.com/@taylorswift 
Instagram: http://instagram.com/taylorswift 
Twitter: http://twitter.com/taylorswift13 
Snapchat: http://snapchat.com/add/taylorswift 
Facebook: http://facebook.com/taylorswift 
Tumblr: http://taylorswift.tumblr.com 
Website: http://www.taylorswift.com 

►Follow Taylor Nation Online 
TikTok: http://tiktok.com/@taylornation
YouTube: https://youtube.com/taylornation
Instagram: http://instagram.com/taylornation 
Twitter: http://twitter.com/taylornation13
Tumblr: http://taylornation.tumblr.com

Director: Taylor Swift
Director of Photography: Rodrigo Prieto 
Producer: Jil Hardin 
Editor: Chancler Haynes 
Production Designer: Ethan Tobman 
1st AD: Anthony Dimino 
Visual Effects: Parliament
Production Companies: Taylor Swift Productions & Object & Animal

#taylorswift #postmalone #fortnight #thetorturedpoetsdepartment",124430810,2013966,0,102004
34,SZAVEVO,SZA - Kill Bill (Audio),2022-12-09T05:00:09Z,"SZA’s New Album “SOS” // Available Everywhere Now!
Listen Here // https://sza.lnk.to/SOS  

Follow SZA: 
https://szasos.com 
http://instagram.com/sza 
http://twitter.com/sza 
http://facebook.com/sza 

#SZA #KillBill #SOS #RnB",123204543,780925,0,9029
35,BillieEilishVEVO,Billie Eilish - BIRDS OF A FEATHER (Official Music Video),2024-09-27T15:00:38Z,"Listen to HIT ME HARD AND SOFT: https://billieeilish.lnk.to/HITMEHARDANDSOFT 
Download BIRDS OF A FEATHER Live from Billie’s Amazon Music Songline performance: https://billieeilish.lnk.to/BIRDSOFAFEATHER-AMAZONDOWNLOAD
Get tickets: https://BillieEilish.lnk.to/TourDates 

 Follow Billie Eilish: 

TikTok: https://BillieEilish.lnk.to/TikTok 
Instagram: https://BillieEilish.lnk.to/Instagram 
Facebook: https://BillieEilish.lnk.to/Facebook 
Twitter: https://BillieEilish.lnk.to/Twitter 
YouTube: https://www.youtube.com/billieeilish
WhatsApp: https://BillieEilish.lnk.to/WhatsApp 
Email: https://BillieEilish.lnk.to/SignUp 
Store: https://BillieEilish.lnk.to/Store 
Cell: +1 (310) 807-3956

Music video by Billie Eilish performing BIRDS OF A FEATHER.© 2024 Darkroom/Interscope Records",116741249,1930363,0,51915
36,FutureVEVO,"Future, Metro Boomin, Kendrick Lamar - Like That (Official Audio)",2024-03-22T04:00:12Z,"Future, Metro Boomin & Kendrick Lamar - Like That (Official Audio)

""WE DON'T TRUST YOU"" available at: https://future.lnk.to/WEDONTTRUSTYOU

Follow Future:
Facebook: https://Future.lnk.to/followFI
Twitter:  https://Future.lnk.to/followTI
Instagram:  https://Future.lnk.to/followII
Website:  https://Future.lnk.to/followWI
Spotify:  https://Future.lnk.to/followSI

Follow Metro Boomin:
https://twitter.com/metroboomin
https://www.instagram.com/metroboomin
https://www.instagram.com/boominati
https://www.facebook.com/MetroBoomin/

(C) 2024 Wilburn Holding Co. and Boominati Worldwide, under exclusive license to Epic Records, a division of Sony Music Entertainment. With Republic Records, a division of UMG Recordings, Inc.

#Future #MetroBoomin #LikeThat #KendrickLamar",106845341,1140127,0,65499
37,MorganWallenVEVO,Morgan Wallen - Thinkin’ Bout Me,2023-03-03T05:00:02Z,"Get the new album “One Thing At A Time” now: https://morganwallen.lnk.to/onethingatatime

Music video by Morgan Wallen performing Thinkin’ Bout Me (Lyric Video). © 2023 Big Loud Records, under exclusive license to Mercury Records/Republic Records, a division of UMG Recordings, Inc.",106837305,426097,0,5531
38,Myke Towers,Myke Towers - LA FALDA (Video Oficial),2023-11-24T00:00:09Z,"#MykeTowers  #LVEU #VLTNLM

ESCUCHA ""LVEU: VIVE LA TUYA... NO LA MIA"" EN TU PLATAFORMA FAVORITA
🎵 https://LVEU.lnk.to/VIVELATUYANOLAMIA

Sígueme en mis redes: 
Instagram: https://www.instagram.com/myketowers/
Facebook: https://www.facebook.com/myketowersofficial/
TikTok: https://www.tiktok.com/@myketowersmtyk
Twitter: https://twitter.com/myketowerspr

LETRA - LYRICS=

(Dale, dale, dale, dale),
(Dale, dale, dale, dale),
Full harmony,
(Dale, dale, dale, dale),
(Dale, dale, dale, dale),
(Dale, dale, dale, dale),
(Dale, dale, dale, dale),

Esa falda,
Chiquitita,
Que bonita te queda,
La veía to’ los días,
Ahora es cuando se pueda,
Y de la uni yo la saco hasta donde se hospeda,
Y las demás que sigan envidiando,
Por eso no prosperan

Esa falda,
Chiquitita,
Ay que bonita te queda,
Yo la veía to’ los días,
Ahora es cuando se pueda,
Y de la uni yo la saco hasta donde se hospeda,
Y las demás que sigan envidiando,
Por eso no prosperan

Ese culo,
Pone a las demás inseguras,
Ella a mi me des configura,
Mezcla lo sensual,
La calle y la finura,
Cuando quiere no disimula,
Hoy va pa’ la calle,
Se bebe y se fuma,
Quiere un tipo que la presuma,
Su booty heavy weight,
El jacuzzi con espuma,
Chingando escuchando a Peso Pluma

Esa falda,
Chiquitita,
Ay que bonita te queda,
Yo la veía to’ los días,
Ahora es cuando se pueda,
Y de la uni yo la saco hasta donde se hospeda,
Y las demás que sigan envidiando,
Por eso no prosperan

Dale espacio a las demás,
Pa’ que brillen bebé,
Tu no lo haces a mal,
Solo haces tu deber,
Dime donde estas que yo te quiero ver,
Es intocable si pasa se tienen que mover,
Esta enfocada en la de ella pero a veces se distrae,
Se pone traje o falda pa’ que se lo encaje,
No le hablen de embarazo ni de pruebas de dopaje,
Se puso creativa con la hierba que le traje,
Y ella esta haciendo un bachillerato,
Yo llevo rato comiéndomela pero no dejo rastro,
Llegue con Yannc, con Chalko en una Raptor,
Trai mas sustancias que den abasto,
El alcohol hizo que a la amiga quiera besar,
Sin querer la toque y se la subió sin pensar

Esa falda,
Chiquitita,
Ay que bonita te queda,
Yo la veía to’ los días,
Ahora es cuando se pueda,
Y de la uni yo la saco hasta donde se hospeda,
Y las demás que sigan envidiando,
Por eso no prosperan

(Esa falda,
Chiquitita,
Ay que bonita te queda,
Yo la veía to’ los días,
Ahora es cuando se pueda,
Y de la uni yo la saco hasta donde se hospeda,
Y las demás que sigan envidiando,
Por eso no prosperan)",101898487,527365,0,5932
39,21 Savage,21 Savage - redrum (Official Music Video),2024-01-12T05:00:16Z,"Watch the official music video for ""redrum"" by 21 Savage.

""american dream"" available at: http://AmericanDream21savage.com

Follow 21 Savage:
http://21Savage.com
http://instagram.com/21Savage
https://www.tiktok.com/@21savage
http://twitter.com/21Savage
http://facebook.com/21Savage

(C) 2024 Slaughter Gang, LLC under exclusive license to Epic Records, a division of Sony Music Entertainment

#21Savage #americandream #redrum",98805750,1444336,0,32268
40,Kenya Grace,Kenya Grace - Strangers (Official Lyric Video),2023-09-01T15:18:41Z,"Listen to 'Strangers' here: https://majorrecordings.lnk.to/strangers

Follow Kenya Grace:
https://www.instagram.com/kenyagrace
https://www.tiktok.com/@kenyagracebaby
https://www.youtube.com/@kenyagracebaby/

Credits:
Director: Ben Hanning
Shot by Julius Gutierrez
Color by Julius Gutierrez
Edit by Ben Hanning
Production Company: SPACEHRTS

Lyrics:
It always ends the same
when it was me and you
but every time I meet somebody new 
its like de ja vu

I swear they sound the same 
Its like they know my skin
every word they say sounds just like him 
and it goes like this

we’ll get in ur car and 
you’ll lean to kiss me 
we’ll talk for hours
and lie on the back seat 

Uh huh uh huh

Then one random night  
when everything changes  
You wont reply 
and we’ll go back to strangers 

Uh huh uh huh

it’s something that I hate 
how everyones disposable 
now every time I date somebody new 
I feel vulnerable 

that it’ll never change 
& it will just stay like this 
never ending dating breaking up
and it goes like this 

we’ll get in ur car and 
you’ll lean to kiss me 
we’ll talk for hours
and lie on the back seat 

Uh huh uh huh

Then one random night  
when everything changes  
You wont reply 
and we’ll go back to strangers 

Uh huh uh huh

It always ends the same
when it was me and u 
but every time I meet somebody new 
its like de ja vu

when we spoke for months 
did u ever mean it? 
how can they say that this is love?
when it goes like this

we’ll get in ur car and 
you’ll lean to kiss me 
we’ll talk for hours
and lie on the back seat 

Uh huh uh huh

Then one random night  
when everything changes  
You wont reply 
and we’ll go back to strangers 

Uh huh uh huh

#KenyaGrace #Strangers",90935178,1007558,0,11961
